cluster_profile,tmrca,host_simplifiedhost
11111111,2020-06-06,anseriformes-wild
11111111,2020-02-20,anseriformes-wild
11111111,2020-03-01,anseriformes-wild
11111111,2019-07-01,anseriformes-wild
11111111,2020-01-07,galliformes-domestic
11111111,2020-06-15,anseriformes-wild
11111111,2020-07-01,anseriformes-wild
11111111,2019-07-06,anseriformes-wild
11111111,2020-01-24,anseriformes-wild
11111111,2019-10-11,anseriformes-wild
11111111,2020-03-04,anseriformes-wild
11111111,2020-02-06,anseriformes-wild
11111111,2020-03-09,anseriformes-wild
11111111,2019-12-19,anseriformes-wild
11111111,2019-08-23,anseriformes-wild
11111111,2020-04-03,anseriformes-wild
11111111,2020-06-03,anseriformes-wild
11111111,2020-05-16,anseriformes-wild
11111111,2020-04-06,anseriformes-wild
11111111,2019-12-30,environment
11111111,2019-12-30,anseriformes-wild
11111111,2019-11-21,anseriformes-wild
11111111,2020-08-20,anseriformes-wild
11111111,2020-06-05,anseriformes-wild
11111111,2019-12-23,anseriformes-wild
11111111,2019-02-28,anseriformes-wild
11111111,2020-04-28,anseriformes-wild
11111111,2020-06-11,anseriformes-wild
11111111,2020-10-14,anseriformes-wild
11111111,2019-12-09,anseriformes-wild
11111111,2020-03-22,anseriformes-wild
11111111,2019-02-11,other-bird
11111111,2020-01-08,anseriformes-wild
11111111,2020-01-05,anseriformes-wild
11111111,2020-01-26,anseriformes-wild
11111111,2020-03-02,anseriformes-wild
11111111,2020-09-20,anseriformes-wild
11111111,2020-03-02,anseriformes-wild
11111111,2019-12-17,galliformes-domestic
11111111,2019-01-14,anseriformes-wild
11111111,2020-09-30,anseriformes-wild
11111111,2020-02-28,anseriformes-wild
11111111,2019-07-07,anseriformes-wild
11111111,2020-02-02,anseriformes-wild
11111111,2019-06-20,anseriformes-wild
11111111,2020-08-14,anseriformes-wild
11111111,2020-08-10,anseriformes-wild
11111111,2019-11-04,anseriformes-wild
11111111,2020-06-20,anseriformes-wild
11111111,2020-06-13,galliformes-domestic
11111111,2020-06-20,charadriiformes-wild
11111111,2020-08-02,anseriformes-wild
11111111,2020-07-14,anseriformes-wild
11111111,2019-11-21,anseriformes-wild
11111111,2020-09-30,anseriformes-wild
11111111,2020-03-11,anseriformes-wild
11111111,2020-04-21,anseriformes-wild
11111111,2020-09-23,anseriformes-wild
11111111,2019-03-22,anseriformes-wild
11111111,2019-12-13,anseriformes-wild
11111111,2019-11-05,anseriformes-wild
11111111,2017-11-26,anseriformes-wild
11111111,2019-11-02,anseriformes-wild
11111111,2020-09-29,anseriformes-wild
11111111,2019-07-02,anseriformes-wild
11111111,2020-07-27,anseriformes-wild
11111111,2019-10-08,anseriformes-wild
11111111,2020-05-15,anseriformes-wild
11111111,2020-05-06,anseriformes-wild
11111111,2018-11-02,human
11111111,2019-01-06,environment
11111111,2020-02-11,anseriformes-wild
11111111,2019-11-14,anseriformes-wild
11111111,2019-01-27,other-bird
11111111,2020-03-15,galliformes-domestic
11111111,2020-03-29,galliformes-domestic
11111111,2020-07-05,anseriformes-wild
11111111,2020-03-20,anseriformes-wild
11111111,2019-10-10,anseriformes-wild
11111111,2020-01-31,anseriformes-wild
11111111,2019-06-17,anseriformes-wild
11111111,2020-03-18,anseriformes-wild
11111111,2020-04-01,anseriformes-wild
11111111,2020-01-05,anseriformes-wild
11111111,2019-12-18,anseriformes-wild
11111111,2020-02-18,anseriformes-wild
11111111,2020-02-07,anseriformes-wild
11111111,2020-03-15,anseriformes-wild
