tipnames	virus_subtype	collection_date	collection_datedecimal	collection_datemonth	collection_dateyear	collection_regionname	collection_countryname	collection_countrylat	collection_countrylong	cluster_number	profile	cluster_profileclass	host_order	host_isbird	host_simplifiedhost	tiplocation_lon	tiplocation_lat
H5N1.2344b.EPI_ISL_15957618.galliformes.united_kingdom.1_1_2_1_1_1_1_1.2022-10-19	H5N1	2022-10-19	2022.8	2022-10	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	-2.78687513666638	54.0438440515314
H5N1.2344b.EPI_ISL_14761281.galliformes.italy.2_1_1_1_1_1_1_1.2022-01-05	H5N1	2022-01-05	2022.01	2022-01	2022	southern europe	italy	42.7080607219025	12.208345049127	profile002	2_1_1_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	12.208345049127	42.7080607219025
H5N1.2344b.EPI_ISL_14761232.galliformes.italy.2_1_1_1_1_1_1_1.2021-12-29	H5N1	2021-12-29	2021.99	2021-12	2021	southern europe	italy	42.7080607219025	12.208345049127	profile002	2_1_1_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	12.208345049127	42.7080607219025
H5N1.2344b.EPI_ISL_14761272.galliformes.italy.2_1_1_1_1_1_1_1.2022-01-04	H5N1	2022-01-04	2022.01	2022-01	2022	southern europe	italy	42.7080607219025	12.208345049127	profile002	2_1_1_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	12.208345049127	42.7080607219025
H5N8.2344b.EPI_ISL_12176931.galliformes.kosovo.3_2_3_1_1_2_1_2.2022-01-19	H5N8	2022-01-19	2022.05	2022-01	2022	southern europe	kosovo	42.5708562510164	20.8773751977042	profile003	3_2_3_1_1_2_1_2	dominant	galliformes	TRUE	galliformes-domestic	20.8773751977042	42.5708562510164
H5N1.2344b.EPI_ISL_8416806.galliformes.portugal.1_1_2_1_1_1_1_1.2021-12-05	H5N1	2021-12-05	2021.93	2021-12	2021	southern europe	portugal	39.6087908144854	-8.54351338161115	profile001	1_1_2_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	-9.16600795512929	39.0000659845379
H5N1.2344b.EPI_ISL_15957912.galliformes.united_kingdom.1_1_2_1_1_1_1_1.2022-11-06	H5N1	2022-11-06	2022.85	2022-11	2022	northern europe	united kingdom	54.0438440515314	-2.78687513666638	profile001	1_1_2_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	-3.76558183366802	52.3299411115892
H5N1.2344b.EPI_ISL_11259263.accipitriformes.ireland.2_1_1_1_1_1_1_1.2022-01-07	H5N1	2022-01-07	2022.02	2022-01	2022	northern europe	ireland	53.1625189533631	-8.16313556364258	profile002	2_1_1_1_1_1_1_1	dominant	accipitriformes	TRUE	other	-8.16313556364258	53.1625189533631
H5N1.2344b.EPI_ISL_11259262.passeriformes.ireland.2_1_1_1_1_1_1_1.2021-12-08	H5N1	2021-12-08	2021.93	2021-12	2021	northern europe	ireland	53.1625189533631	-8.16313556364258	profile002	2_1_1_1_1_1_1_1	dominant	passeriformes	TRUE	other	-8.16313556364258	53.1625189533631
H5N1.2344b.EPI_ISL_11259261.charadriiformes.ireland.2_1_1_1_1_1_1_1.2021-11-17	H5N1	2021-11-17	2021.88	2021-11	2021	northern europe	ireland	53.1625189533631	-8.16313556364258	profile002	2_1_1_1_1_1_1_1	dominant	charadriiformes	TRUE	charadriiformes-wild	-8.16313556364258	53.1625189533631
H5N1.2344b.EPI_ISL_12471663.pelecaniformes.greece.1_1_2_1_1_1_1_1.2022-03-10	H5N1	2022-03-10	2022.19	2022-03	2022	southern europe	greece	39.0148672656421	22.9963034984317	profile001	1_1_2_1_1_1_1_1	dominant	pelecaniformes	TRUE	other	22.9963034984317	39.0148672656421
H5N1.2344b.EPI_ISL_12471662.pelecaniformes.greece.1_1_2_1_1_1_1_1.2022-03-10	H5N1	2022-03-10	2022.19	2022-03	2022	southern europe	greece	39.0148672656421	22.9963034984317	profile001	1_1_2_1_1_1_1_1	dominant	pelecaniformes	TRUE	other	22.9963034984317	39.0148672656421
H5N1.2344b.EPI_ISL_12471661.pelecaniformes.greece.1_1_2_1_1_1_1_1.2022-03-10	H5N1	2022-03-10	2022.19	2022-03	2022	southern europe	greece	39.0148672656421	22.9963034984317	profile001	1_1_2_1_1_1_1_1	dominant	pelecaniformes	TRUE	other	22.9963034984317	39.0148672656421
H5N1.2344b.EPI_ISL_12471660.pelecaniformes.greece.1_1_2_1_1_1_1_1.2022-03-10	H5N1	2022-03-10	2022.19	2022-03	2022	southern europe	greece	39.0148672656421	22.9963034984317	profile001	1_1_2_1_1_1_1_1	dominant	pelecaniformes	TRUE	other	22.9963034984317	39.0148672656421
H5N1.2344b.EPI_ISL_12471658.pelecaniformes.greece.1_1_2_1_1_1_1_1.2022-02-24	H5N1	2022-02-24	2022.15	2022-02	2022	southern europe	greece	39.0148672656421	22.9963034984317	profile001	1_1_2_1_1_1_1_1	dominant	pelecaniformes	TRUE	other	22.9963034984317	39.0148672656421
